source,product,rating,title,review_text,reviewer,date
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,Richa Tiwari Bigger wishlist,...The camera quality is also very good and captures clear and vibrant photos....,Richa Tiwari Bigger wishlist,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,Ravi Kumar jha,"... can I even say? The AI camera is totally G..FAAD😋😋

😘😘And if we talk about the speaker and haptics, both are excell...",Ravi Kumar jha,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,Krishna kanta Biswal,Back camera is awesome but front camera need to improve quality like back camera,Krishna kanta Biswal,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,camera quality is not that good as vivo v60.,...great performance.one of the best processor.,Parvez  Solanki,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,Camera awesome.,"...was amazing....
Excellent features....",Mukesh,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,Very nice phone nice camera,"Durablity
Design is also very good",Ashish  Ranjan,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,This phone is good,"Performance good
Battery life good
Charging...",Shivam kumar  Rajpoot,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,Except camera everything is good.,My mother uses this phone. Battery life...,Anmol Sharma,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,The camera may be better but it's ok,And all other things are excellent....�...,Deepak Singh,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,Outstanding camera.,...this mobile. Performance is very smooth.,Flipkart Customer,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,Prateek kumar,...Camera improved more with the new update and it will enhance with other updates....,Prateek kumar,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,Anandan Basu,"...As always fan of OnePlus and I have upgraded from Nord 2 to Nord 5.

Camera - Great...",Anandan Basu,
flipkart,"OnePlus Nord 5 5G (Marble Sands, 256 GB) (8 GB RAM)",,Sahil Priyadarshi,Oneplus should upgrade camera quality in nord 5 otherwise everything is excellent,Sahil Priyadarshi,
