source,product,rating,title,review_text,reviewer,date
google_play,Amazon Shopping,1,,"Your delivery agents are very poor. Even after showing “Out for Delivery,” they do not deliver the item. I will not shop from Amazon anymore, and I will also suggest others not to shop from there. We place orders with high expectations that the item will be delivered on the promised date, but instead, the order gets canceled on the same day—even after showing the “Out for Delivery” status.",mohd sabauddin,2026-03-17
google_play,Amazon Shopping,2,,2-25 update I used to love this app but half of my next day things don't arrive for 2-3 days (if then) and they can't blame COVID now. I add things into those orders and then the thing I need most doesn't arrive ?? Love the app and I use it daily! It would be nice if when you favorite an item it would give you a drop down menu to put it in the list you want. I like that it shows items you've purchased when you are browsing. I'd like it if the order history showed farther back like it used to .,Kate W,2026-02-15
google_play,Amazon Shopping,2,,"Very deceptive with their delivery dates. I understand that unforeseen interruptions happen, but I am consistently ""promised"" a delivery date, only to have it changed with zero explanation or even a notification. I make plans based on Amazon's ""promise"" but they can't be trusted. I have screenshots to back up my review of this terrible business model.",Nate Tobin,2026-03-07
google_play,Amazon Shopping,3,,"This app has not been compatible with all of the AI return questions that are needed to continue during returns. The font sizes are also not the right size to see words at the bottom of certain screens (like when the bottom bar pops up when adding/removing a product to/from list on a product page). I haven't enlarged my font, so I shouldn't need to change my system-wide font sizes to smaller than default to make apps viewable.",Steven W. (id6klub),2026-02-14
google_play,Amazon Shopping,5,,"Amazon shopping batabase at your finger-tips, I have used this app on multiple occations. it is so easy to search products, buy them or save them for later. Also i can view my entire purchase history, re-purchase products. that you have brought before. I can Review products and give ""feebdack"" and arange for a return if no longer needed.",John Swiestowski,2026-02-26
google_play,Amazon Shopping,3,,It is okay. The app is easy to use and the service is okay. I just wish you could learn the origin of the manufacturer and where the products are shipping from without having to do a ton of research from off of the app... what is even more sad is that when it is suggested or desired Amazon does everything they can to shut that option down. they almost messed up and gave it to us when they were trying to show us tariffs into the US but quickly realized that many people wanted that info.,John Davoust,2026-02-12
google_play,Amazon Shopping,5,,"Really easy to use, and there's a fantastic choice of products. You can pretty much always find a bargain, whatever you're looking for. Delivery is usually very quick and reliable, and the no quibble returns process is brilliant. I don't have transport, so Amazon is a real lifeline for me, and I use it pretty much daily!",Jon-Paule Ambrose,2026-02-18
google_play,Amazon Shopping,3,,"3 stars as I am having issues with amazon today. It was working fine yesterday, but when I've gone to check on my order status this morning, all of my amazon orders have disappeared except anything that is associated with Amazon Video, or Audible. I have already cleared cache and data ad well as uninstalling and reinstallimg the app but having no luck. The issue is also happening on the desktop site as well. Please fix.",Alexandra Catherine Hall,2026-02-27
google_play,Amazon Shopping,1,,Amazon has become un-human when it comes to customer service. I can't uncheck using my digital Amazon gift card as payment of prime membership. I was saving that for something else. Amazon is about to lose me as a customer since I can't talk to an actual person about this! They don't give out numbers no more to call to resolve things. I hate that you have to choose the very limited options about your complaint.,James Jones,2026-02-18
google_play,Amazon Shopping,1,,"DON'T BOTHER WITH THE APP, OR THE WEBSITE...UD#4 NOW WHAT HAVE THEY DONE TO AMAZON??Who can we contact about website design issues?? n/m NOBODY,THEY DON'T CARE. Search results show ""not available"" AND no prices??!!This disaster will be the last straw! I am so done with Amazon-if this isn't fixed I'm canceling my account. For character count I had to remove several review updates that show the steady decline over time. Years ago this app used to be great. :( :( :( PS thanks for offering help. Not",Linda Sue,2026-03-06
google_play,Amazon Shopping,1,,"Ordering works great, but if you have to manage any settings in the app regarding order history, subscriptions or any personal information, it is an absolute nightmare. You have to click yourself through 10 different menus, to find out, the in the help mentioned menu does not exist anymore.",Gary Kries,2026-01-09
google_play,Amazon Shopping,1,,"App is currently broken for payment currently. >:( I've been having recent issues with my payment despite it being flawless less than 2 weeks ago. It keeps saying my card is expired despite it being good for another 2 years at least. I'd blame the latest update when AWS went down, as that's when this absolute malarkey has started. I've contacted Amazon tech support directly, it looks good for maybe a few minutes when they fix it, and then boom, card is expired except it isn't. Fix this Amazon.",Jake P,2025-10-29
google_play,Amazon Shopping,1,,"Not for tablets anymore?!! I've been using this app for years on my tablets, and it started glitching and locking up frequently, so I thought I'll uninstall it and reinstall it. I can't reinstall it. Google play says it's not compatible with tablets now and offers no other app in its place. why??! Now I'm stuck with the online website shopping experience, which is terrible! Customer service was a dead end. This will deter me from shopping on Amazon and may force me to cancel prime.",Joanne,2026-02-26
google_play,Amazon Shopping,2,,"Put Rufus where I'm constantly clicking it. I'm constantly getting issues where it won't load the picture. Constantly having items damaged or just never get shipped this having to wait weeks for a refund. Probably 1 in 5 packages. **Read the comments people. Sellers are allowed to change the item for sale, keeping the comments/score Rather than just having to create a new ad for a new item. A lot of times the five-star review is for a completely different item. Amazon should not allow that.",Meaghan R,2024-11-25
google_play,Amazon Shopping,1,,"Can't access our orders for tracking anymore since the recent change. I do a search for my orders and it shows me shipping suggestions. I used to use the app primarily for keeping track of my orders because the web site makes it difficult to tell what's arriving on a particular day and the app used to sort them by the day expected. This was easy, user friendly, and wonderful. Now it's gone. I have no reason to use the app anymore. I can't easily track any packages anymore.",Moraenil,2025-03-09
google_play,Amazon Shopping,1,,"Terrible search algorithm: The app is almost unusable. I have tried and tried to use this site but as the years pass, the search becomes less and less capable. Even 15 years ago I could still use the filters as such. When I searched for an item today, the display photos were massive. Only one item is shown on the screen now. Not only can I not find the correct items, the wrong items take up the whole screen. My eyesight has not changed, nor has my ability to spell or know what I want to buy.",Brea,2025-03-06
google_play,Amazon Shopping,2,,"Look, Amazon is Amazon and it's app isn't all that different from it's website from a mobile standpoint. But now they're putting ads into your notification bar. They could section off ""deals picked for you"" notifs and ""delivery update"" notifs, but they don't. Lumping these two kinds of notifications together without an option to toggle them is ignorant at best and manipulative at worst. I just need quick delivery updates, nothing else, and I don't need an app that can't or won't do just that.",Robert Cooper,2025-02-18
google_play,Amazon Shopping,1,,"The Amazon app can be frustrating, especially during Prime Day and Black Friday, where pricing feels deceptive. Items are often marked up before being “discounted” making it seem like you’re getting a deal when you’re not. Cancelling Prime if you don't want it anymore is a hassle and customer support can be hit or miss. If you have an issue with an order sometimes you get the runaround or are told you’ve been refunded, only to find out you haven't forcing you to go through the process again.",Eric Wilson,2024-12-26
google_play,Amazon Shopping,1,,"Amazon has refused to address problems I first brought up years ago, and now they seem to WANT to be impossible to use. Between facing a disabled ""continue"" button at the payment options screen when paying with gift cards, not being able to buy Amazon gift cards anymore, having Visa cards repeatedly declined without explanation, and useless customer service, I've had my last straw. They've lost me as a customer and I'm deleting my account. This slow, janky app with no offline isn't any better.",Nastka Vegas,2024-09-03
google_play,Amazon Shopping,1,,"This new update is a disaster. Nothing in my wishlist is in order, and there's no way to filter it for most recent items. Search brings up items totally unrelated to the keywords. Not to mention that nearly all orders that have been transferred to USPS disappear and get lost. I live a few miles from a distribution center. There's no reason to transfer them to the post office. Been a member for over 10 years. Disappointed with how things have turned out these last few years.",Roshann Al-Turk,2025-01-11
